ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,48.0,0.8596885545774607,3.6242342040948228,4.21575253595896,173.96324179655147,6.86
1,44.0,0.7984131605276685,3.343992120090734,4.188297845542402,147.13565328399227,6.86
2,30.0,0.6923682370871218,2.5713089356073504,3.713788122957753,77.1392680682205,6.86
3,44.0,0.5641769697817439,2.8109885644919803,4.98245890040395,123.68349683764713,6.86
4,57.0,0.33955682585198627,2.4820968537957726,7.309812864364934,141.47952066635904,6.86
5,38.0,0.648244509897464,2.8001821680490178,4.319638848143792,106.40692238586267,6.86
6,27.0,0.9146413853657445,2.8037053469325874,3.0653602513420584,75.70004436717987,6.86
7,20.0,0.8762832379457642,2.361904391525109,2.6953663943886763,47.23808783050217,6.86
8,37.0,0.660116710946459,2.7882793941402766,4.223918812996736,103.16633758319023,6.86
9,25.0,0.7392378079104509,2.4254211103369787,3.2809754647056515,60.63552775842446,6.86
10,45.0,0.4070615992604014,2.4146900235571973,5.932001515113431,108.66105106007387,6.86
11,43.0,0.9206207392075404,3.549765535464328,3.8558392009720794,152.6399180249661,6.86
12,28.0,1.0097599164026936,2.9999439651044604,2.9709477632979033,83.99843102292489,6.86
13,126.0,0.502552826642878,4.489533290254639,8.933455454315792,565.6811945720845,6.86
14,49.0,0.7371093356881658,3.390697605013985,4.5999927566355225,166.14418264568528,6.86
15,19.0,0.38109399709104635,1.5181613056418477,3.9836925200350164,28.845064807195104,6.86
16,66.0,0.637453462233883,3.659495972772018,5.740804920798032,241.52673420295318,6.86
17,43.0,0.8027871251646095,3.3148164915966696,4.129135094084842,142.53710913865677,6.86
18,39.0,0.8856390308882026,3.315780255951216,3.743940974039771,129.3154299820974,6.86
19,58.0,0.5373520783634516,3.1496951878651096,5.861511129644752,182.68232089617632,6.86
20,113.0,0.5365136127506448,4.392933795564243,8.187926067788228,496.40151889875955,6.86
21,24.0,0.6743779105907621,2.2697726192639194,3.365728004459065,54.47454286233407,6.86
22,35.0,0.5873444814137478,2.55802940288654,4.355245488523738,89.5310291010289,6.86
23,38.0,0.7185116654192727,2.948042727772227,4.102985197953547,112.02562365534462,6.86
24,81.0,0.48685021821944535,3.542951910702262,7.2772934633980055,286.97910476688327,6.86
25,77.0,0.3617374255252805,2.9776054311388287,8.231399963150164,229.2756181976898,6.86
26,40.0,0.7654842639222245,3.121930229358536,4.078372837296802,124.87720917434144,6.86
27,50.0,0.527471209854759,2.897406605691499,5.493013744748856,144.87033028457492,6.86
28,56.0,0.6107454437117708,3.2995080708810365,5.402427647807675,184.77245196933805,6.86
29,34.0,0.7391936051147876,2.828418197262158,3.8263564209581324,96.16621870691337,6.86
30,67.0,0.7787643374707754,4.075355441041834,5.2331048623483865,273.0488145498029,6.86
31,55.0,0.7289681525393165,3.572404978673595,4.900632443583905,196.48227382704772,6.86
32,16.0,1.1983431009272119,2.47044759042655,2.0615528128088303,39.5271614468248,6.86
33,44.0,0.6329196177652301,2.9773211358116716,4.704106259692608,131.00212997571356,6.86
34,70.0,0.7049483845957768,3.963261637165659,5.622059322028556,277.4283146015962,6.86
35,46.0,0.46629559909075874,2.6129712890559604,5.603679927820587,120.19667929657417,6.86
36,36.0,0.553627811734994,2.518751160137836,4.549538709488624,90.67504176496209,6.86
37,45.0,0.7105827628245478,3.1903523827546136,4.489768890639912,143.5658572239576,6.86
38,61.0,0.8582324199784374,4.082182712627781,4.756500241193807,249.01314547029466,6.86
39,42.0,0.9530001958936597,3.5694080914484583,3.7454431875549683,149.91513984083525,6.86
40,60.0,0.5478830157755014,3.2347789450922164,5.904141672494713,194.086736705533,6.86
41,36.0,0.4874636004001509,2.3634553928170643,4.848475641826266,85.08439414141432,6.86
42,86.0,0.5162631332496479,3.75932476516197,7.281799770397481,323.30192980392945,6.86
43,26.0,0.7088969284802893,2.422162549486634,3.416804971463467,62.97622628665249,6.86
44,41.0,0.591374926966409,2.7781036542000432,4.69770280666269,113.90224982220177,6.86
45,31.0,0.7889159583445283,2.790109714005152,3.5366374383653683,86.49340113415971,6.86
46,17.0,0.7878370130080256,2.064751139729279,2.6207846364642,35.10076937539774,6.86
47,27.0,0.7454245674902916,2.53109704463969,3.3955106324995863,68.33962020527163,6.86
48,48.0,0.4098798036075866,2.50249916972964,6.105446396001251,120.11996014702272,6.86
49,98.0,0.8444884383726747,5.1325708794705855,6.077727824623656,502.99194618811737,6.86
50,43.0,0.49739321398586306,2.6092111116761876,5.245771430549405,112.19607780207606,6.86
51,29.0,0.89810964994637,2.8793121111117492,3.205969461839861,83.50005122224071,6.86
52,31.0,0.8264571918512356,2.8557230844205117,3.455379313747384,88.52741561703586,6.86
53,33.0,0.6613344730176804,2.63567959501478,3.9853957453452105,86.97742663548775,6.86
54,62.0,0.5998620858919566,3.4406984758544126,5.735815876308158,213.32330550297357,6.86
55,84.0,0.32443843039249354,2.945308918867105,9.078175218959048,247.4059491848368,6.86
56,25.0,0.6667013366785186,2.3033542204615447,3.4548516610702626,57.58385551153862,6.86
57,48.0,0.5975746818455143,3.021633430828251,5.056495066853263,145.03840467975604,6.86
58,32.0,0.9027504198087632,3.0323819462947434,3.3590479491963197,97.03622228143179,6.86
59,43.0,0.8710929721823638,3.45295999219906,3.963939674026185,148.4772796645596,6.86
60,37.0,0.8480171811322392,3.160299564772267,3.726692849020769,116.9310838965739,6.86
61,35.0,0.6799290738406798,2.752269084547275,4.047876742497091,96.32941795915463,6.86
62,23.0,0.7463627645400492,2.337566442381678,3.1319440806002943,53.7640281747786,6.86
63,23.0,0.42128536769261254,1.7562129259136074,4.168701456526764,40.39289729601297,6.86
64,31.0,0.6160843177820519,2.4656191111478516,4.002080624327947,76.4341924455834,6.86
65,56.0,0.570848189655882,3.189917059665479,5.588030438685321,178.6353553412668,6.86
66,39.0,0.44965288956316635,2.362631889199733,5.254346061236276,92.14264367878958,6.86
67,62.0,0.6374703462409917,3.5469159883151624,5.564048601210185,219.90879127554004,6.86
68,25.0,0.790714144931906,2.5084463791218874,3.1723808094237493,62.71115947804717,6.86
69,13.0,0.6869615127168889,1.6860208575317945,2.454316328237502,21.918271147913327,6.86
