ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,107.0,0.4457855115792513,3.8965470731776946,8.740856245806837,416.93053683001335,11.39
1,58.0,0.4198143703947756,2.7839902547608686,6.631479175291027,161.47143477613037,11.39
2,15.0,0.39774004660137297,1.378067064574972,3.4647430560496515,20.67100596862458,11.39
3,186.0,0.3547984265180408,4.583237665444056,12.917863561074748,852.4822057725944,11.39
4,28.0,0.3019549121259339,1.6404958225854742,5.432916494172765,45.93388303239328,11.39
5,57.0,0.584762744544433,3.257259349767254,5.570223787606141,185.66378293673353,11.39
6,60.0,0.5445935478471118,3.2250535831050082,5.921946001479997,193.50321498630046,11.39
7,261.0,0.7883239694429576,8.092779046175563,10.265803603427218,2112.215331051822,11.39
8,184.0,0.37425522370831527,4.681854475510753,12.509790589214774,861.4612234939785,11.39
9,85.0,0.4227141797459635,3.3818779853319705,8.00038926388597,287.45962875321754,11.39
10,51.0,0.31979009453535523,2.278466540967166,7.124881539178706,116.20179358932548,11.39
11,12.0,0.8124660019580208,1.761644551927966,2.168268638542968,21.139734623135592,11.39
12,20.0,0.5411132786804429,1.856026433805885,3.430014577228608,37.1205286761177,11.39
13,70.0,0.70047535037174,3.9506677959044545,5.639981183931523,276.5467457133118,11.39
14,39.0,0.6607350015234967,2.863986878840587,4.334546939751821,111.69548827478289,11.39
15,54.0,0.297276758803381,2.2604891258373003,7.603988737418887,122.06641279521419,11.39
16,85.0,0.7661846727547391,4.553037805501696,5.942480928431669,387.00821346764417,11.39
17,63.0,0.3895479253651096,2.794961218787175,7.174884107436988,176.08255678359203,11.39
18,27.0,0.5330350084869385,2.1403500760046796,4.015402444353947,57.78945205212634,11.39
19,92.0,0.3796443303992049,3.334321221953832,8.782749945054402,306.7575524197525,11.39
20,145.0,0.5526427308262571,5.050464185467783,9.138750776504061,732.3173068928286,11.39
21,155.0,0.6070430364655429,5.4726875459989035,9.015320524658625,848.26656962983,11.39
22,36.0,0.4616433338448946,2.3000093334445983,4.982221478838397,82.80033600400553,11.39
23,62.0,0.473071124240989,3.055512947815342,6.458887028282921,189.4418027645512,11.39
24,126.0,0.4292172221482941,4.149052268458236,9.666555893753822,522.7805858257378,11.39
25,153.0,0.3594152033437094,4.183781555933124,11.640524710726183,640.1185780577679,11.39
26,77.0,0.46654199539986757,3.3815498766228727,7.248114660556091,260.37934049996124,11.39
27,123.0,0.8148331464393223,5.6482246653733,6.9317561393458895,694.731633840916,11.39
28,41.0,0.6514888538834945,2.915885639066834,4.475726056839463,119.5513112017402,11.39
29,87.0,0.4003866467404756,3.329848559912586,8.316582451039988,289.69682471239497,11.39
30,76.0,0.6562546700297817,3.984447081927658,6.071495204364548,302.81797822650196,11.39
31,38.0,0.915376556505272,3.3274899677725744,3.6351050768399378,126.44461877535781,11.39
32,50.0,0.574234893534076,3.0231163027875136,5.264598750142161,151.15581513937568,11.39
33,107.0,0.7436712912587732,5.032774371698418,6.767471638147691,538.5068577717308,11.39
34,185.0,0.6526733752647236,6.19953157441797,9.498673929978295,1146.9133412673243,11.39
