ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,67.0,0.78222582338524,4.084402558317325,5.221513322893443,273.65497140726075,6.96
1,15.0,0.812629248010787,1.9697763455933253,2.42395452835975,29.54664518389988,6.96
2,57.0,0.4803321470933766,2.9521153180537145,6.145987387931009,168.27057312906175,6.96
3,28.0,0.6705247693605731,2.444620740425832,3.6458321185615183,68.44938073192331,6.96
4,36.0,0.6540591055135445,2.7376934195788944,4.185697281026846,98.55696310484021,6.96
5,32.0,0.5960897445691195,2.464086094269411,4.133750188993041,78.85075501662115,6.96
6,37.0,0.6439037805458254,2.753825474981595,4.276765501589737,101.89154257431903,6.96
7,47.0,0.6265121104335769,3.0615314684891426,4.8866277562781875,143.8919790189897,6.96
8,30.0,0.7530990998039102,2.6817096528727595,3.560898762952997,80.4512895861828,6.96
9,13.0,1.0792080554719363,2.1132424643132475,1.958141855593479,27.47215203607222,6.96
10,76.0,0.28950008514758024,2.6464043862697597,9.14129052818995,201.12673335650175,6.96
11,84.0,0.6458381867188222,4.155531385447543,6.434322824049319,349.06463637759356,6.96
12,80.0,0.536883226959355,3.6975152615497726,6.8870008893567,295.8012209239819,6.96
13,91.0,0.6339537998292727,4.285234221150438,6.7595370866212585,389.9563141246899,6.96
14,24.0,0.6585327546549999,2.242948877790296,3.405979219614306,53.83077306696711,6.96
15,59.0,0.746110090328026,3.743281829897478,5.017063672536248,220.8536279639512,6.96
16,54.0,0.954602291510388,4.050728912815408,4.243368100872957,218.739361292032,6.96
17,64.0,0.8281857475014751,4.107512812600693,4.9596516542243165,262.88082000644437,6.96
18,35.0,0.4216757722888858,2.1674466193959208,5.140078614502483,75.86063167885723,6.96
19,72.0,0.6870682473402666,3.968178968244644,5.77552373233081,285.70888571361434,6.96
20,55.0,0.6425402180733937,3.353949865843219,5.21982869165727,184.467242621377,6.96
21,92.0,0.5093774556057802,3.8622362631639664,7.582267767564976,355.3257362110849,6.96
22,61.0,0.5759887136640998,3.344236387467791,5.80607971672524,203.99841963553527,6.96
23,35.0,0.7057732000894666,2.804088184191374,3.9730726298985513,98.14308644669809,6.96
24,96.0,0.8352073201814538,5.0519358383272674,6.04872073825898,484.9858404794177,6.96
25,23.0,0.8210465094759584,2.4517312419199806,2.9861051884683416,56.38981856415955,6.96
26,17.0,0.7376681466136557,1.997928948794228,2.7084386901697384,33.96479212950187,6.96
27,33.0,0.7958743741589532,2.8913741522015717,3.632952945943328,95.41534702265186,6.96
28,109.0,0.6672902172789305,4.811668418478548,7.21075821866462,524.4718576141616,6.96
29,48.0,0.6574872888597109,3.1694898321406137,4.820610049568415,152.13551194274945,6.96
30,64.0,0.5068549696819129,3.2133416646091115,6.33976552824511,205.65386653498314,6.96
31,78.0,0.4881231600474738,3.481264906098633,7.131939623106702,271.5386626756934,6.96
32,87.0,0.5354464650177035,3.850726891165478,7.191618850332985,335.01323953139655,6.96
33,14.0,0.885844145728555,1.986862171578107,2.24290263830104,27.816070402093498,6.96
34,53.0,0.6243777296553734,3.245538016308184,5.198036160097455,172.01351486433373,6.96
35,30.0,0.4740411983983566,2.1276183861910622,4.488256281056684,63.82855158573187,6.96
36,67.0,0.7178052251827249,3.9126029019711304,5.450786320168031,262.1443944320657,6.96
37,23.0,0.6656714309381605,2.207592657309704,3.316339795743442,50.774631118123196,6.96
38,34.0,0.638504224077146,2.628732590886993,4.117016758481744,89.37690809015776,6.96
39,34.0,0.9528447651612901,3.211260951320614,3.370182708383812,109.18287234490089,6.96
40,39.0,0.5118551367219513,2.5207565257655418,4.924745977756713,98.30950450485612,6.96
41,48.0,0.6866909904189643,3.239114923582885,4.716990566028302,155.47751633197848,6.96
42,19.0,0.9078118541931813,2.343148367412107,2.5810947021556383,44.51981898083004,6.96
43,63.0,0.44598092695862607,2.990566618606168,6.705593082198344,188.40569697218857,6.96
44,38.0,0.8750212952595822,3.253315431724057,3.717984292895334,123.62598640551417,6.96
45,39.0,0.7614559881653479,3.074537329119331,4.037708517503582,119.90695583565392,6.96
46,23.0,0.808702523532723,2.4332312239307723,3.0088087437905897,55.96431815040776,6.96
