ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,50.0,0.6005846909128171,3.091698922988669,5.147815070493481,154.58494614943345,7.01
1,45.0,0.5758241196374756,2.871945847202883,4.987540030471436,129.23756312412976,7.01
2,24.0,0.8332353468291346,2.5229841778980377,3.027937049837382,60.55162026955291,7.01
3,27.0,0.5837411245463223,2.239840488675192,3.837044187037487,60.47569319423019,7.01
4,105.0,0.3528909934480107,3.4343140007533846,9.731940073611828,360.6029700791054,7.01
5,39.0,0.9195842857125518,3.378727275697319,3.6741898792662258,131.7703637521954,7.01
6,40.0,0.6088231886603034,2.784201428693791,4.573087031754392,111.36805714775163,7.01
7,23.0,0.9370617917247036,2.6192267450976052,2.7951483757296334,60.24221513724492,7.01
8,35.0,0.6611537821010235,2.7140030360280702,4.104949725014769,94.99010626098247,7.01
9,59.0,0.7931832821468227,3.8595604329404405,4.865912481783767,227.71406554348602,7.01
10,40.0,0.773623693303583,3.1384841549037477,4.056861471630437,125.53936619614991,7.01
11,25.0,0.6471817790008596,2.2693851502884366,3.5065652710309423,56.73462875721092,7.01
12,67.0,0.4023021233697291,2.9291298687132596,7.28092072738401,196.2517012037884,7.01
13,46.0,0.3711740452791377,2.3312710981201343,6.280803110483992,107.2384705135262,7.01
14,83.0,0.5288319698149788,3.737859395715538,7.068141884506895,310.24232984438964,7.01
15,32.0,0.7114855627878891,2.6920498569672784,3.7837027169163275,86.14559542295291,7.01
16,102.0,0.7423304069437777,4.9093475074793975,6.613426395520424,500.7534457628986,7.01
17,51.0,0.8226333524034903,3.6543766592268243,4.442290904629409,186.37320962056805,7.01
18,28.0,0.7111274803080424,2.5175482924727635,3.5402207932988685,70.49135218923738,7.01
19,44.0,0.7743134772025827,3.2931370957117605,4.252976594969147,144.89803221131743,7.01
20,63.0,0.7390952846678593,3.849865473535533,5.208889237151088,242.5415248327386,7.01
21,20.0,0.9816804508366587,2.4999143688321372,2.546566315649385,49.99828737664275,7.01
22,28.0,0.6345385598898251,2.3781162944181657,3.7477884635270673,66.58725624370865,7.01
23,54.0,0.7479831057758938,3.585649527270316,4.793757371766933,193.62507447259702,7.01
24,67.0,0.7968291603407122,4.122352017418029,5.173445228404259,276.19758516700796,7.01
25,19.0,0.9278739946173155,2.3688980237171884,2.5530384917126563,45.00906245062658,7.01
26,64.0,0.7197707824011355,3.8292362127152066,5.320077316754898,245.07111761377325,7.01
27,77.0,0.39234571397099394,3.101022251778919,7.9038005038795385,238.77871338697676,7.01
28,51.0,0.7115146385846005,3.3986157954267533,4.776592934458159,173.32940556676442,7.01
29,73.0,0.44371011629015994,3.2109693416301823,7.236637668928873,234.40076193900336,7.01
30,36.0,0.9080999174386298,3.2258422976150585,3.552298855740248,116.1303227141421,7.01
31,55.0,0.9158462138145778,4.00421774188974,4.372150784149481,220.2319758039357,7.01
32,61.0,0.5654007189823925,3.313356447616019,5.860191429504005,202.11474330457716,7.01
33,26.0,0.6595867200620484,2.336402644788255,3.5422220819856185,60.74646876449462,7.01
34,49.0,0.37909055736275177,2.43161373088056,6.414334737844047,119.14907281314743,7.01
35,34.0,0.9520471628161989,3.209916637123035,3.371594142067453,109.13716566218318,7.01
36,41.0,0.5802384528993939,2.751821409898626,4.742569879931341,112.82467780584365,7.01
37,87.0,0.37135833820253583,3.2068694457209546,8.63551216122675,278.99764177772306,7.01
38,31.0,0.574156564501196,2.3802418010865223,4.1456319552043785,73.78749583368219,7.01
39,50.0,0.5515030046429942,2.962674962242146,5.372001489203095,148.1337481121073,7.01
40,45.0,0.6639045177042162,3.0837852901961265,4.64492288870072,138.7703380588257,7.01
41,24.0,0.8389544073602732,2.531627849050037,3.0175988430833485,60.75906837720088,7.01
42,36.0,0.584641604983511,2.5883391004004794,4.427223581656458,93.18020761441726,7.01
43,51.0,0.4684646545900664,2.757709824305004,5.886697741835313,140.6432010395552,7.01
44,34.0,0.7717983816513033,2.890123850406561,3.7446617136239504,98.26421091382308,7.01
45,48.0,0.43753762221385445,2.585552636274281,5.9093264327576955,124.1065265411655,7.01
46,79.0,0.5634329882285615,3.7640877962745356,6.680630837943768,297.36293590568835,7.01
47,53.0,0.5632363992700468,3.0825374044363976,5.472901624311497,163.37448243512907,7.01
48,43.0,0.6196680816046246,2.9123184047548314,4.6998038001463796,125.22969140445774,7.01
49,29.0,0.6182416034193067,2.3889286339562403,3.8640696788177973,69.27893038473096,7.01
50,64.0,0.6849192458590617,3.7353795390089997,5.453751754812919,239.06429049657598,7.01
51,56.0,0.6634500275591599,3.4389288091810486,5.183402918578368,192.58001331413874,7.01
52,22.0,0.694257203622496,2.204939113055455,3.175968649011521,48.50866048722002,7.01
53,34.0,0.7293256247270501,2.809475560371515,3.852155285813467,95.52216905263151,7.01
54,35.0,0.7623896078504071,2.9143893400830776,3.8227033921676,102.00362690290771,7.01
55,38.0,0.7257968034355861,2.9629504417012007,4.082341541979745,112.59211678464561,7.01
56,25.0,0.7210194218065742,2.3953476266063825,3.322167966855372,59.88369066515956,7.01
57,83.0,0.4803763052023498,3.562500209663298,7.4160614732291155,295.68751740205374,7.01
58,34.0,0.5762979301933789,2.4973996819302857,4.333521866185211,84.91158918562972,7.01
59,62.0,0.7083830589998302,3.738995923353649,5.278211944583708,231.81774724792623,7.01
60,49.0,0.72215592494045,3.3561285945956376,4.6473738962570845,164.4503011351862,7.01
61,25.0,0.9331317019928573,2.725000210347851,2.920273959750978,68.12500525869626,7.01
62,17.0,0.9774102942631233,2.299788927677912,2.352941176470563,39.096411770524504,7.01
63,48.0,0.6215903613235604,3.0817529336337954,4.957851867380599,147.92414081442217,7.01
64,47.0,0.46020006841836025,2.623900317428424,5.70165129798086,123.32331491913592,7.01
65,59.0,0.5991363721845094,3.3543927611236297,5.598713276066328,197.90917290629417,7.01
66,101.0,0.6030036535361303,4.402969958661432,7.3017301517852555,444.6999658248046,7.01
67,26.0,0.8891631531414796,2.71270436538105,3.0508510792387917,70.5303134999073,7.01
68,33.0,0.7188526600758331,2.7479066537247165,3.8226284833318065,90.68091957291564,7.01
69,56.0,0.367021489167044,2.557789638115488,6.969045992158107,143.2362197344673,7.01
70,31.0,0.7751794179106739,2.7657124653336753,3.567835266818676,85.73708642534395,7.01
71,124.0,0.5788568631284766,4.779929593118742,8.257532902495521,592.7112695467239,7.01
72,36.0,0.7875624993260203,3.004130733312241,3.8144664529902244,108.1487063992407,7.01
73,35.0,0.6558477759685827,2.7030906537306167,4.121521415146346,94.60817288057159,7.01
74,43.0,0.9141363236703869,3.5372420122450707,3.869490710141068,152.10140652653803,7.01
75,118.0,0.6115586395351768,4.792753800429186,7.836948888616767,565.544948450644,7.01
76,24.0,1.0037216849007238,2.769091700674221,2.758824226207792,66.4582008161813,7.01
77,44.0,0.8922606648682168,3.5350639583946597,3.9619184141853596,155.54281416936502,7.01
