ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,49.0,0.4681982846738362,2.70232769896487,5.771759076066262,132.41405724927864,7.01
1,75.0,0.7985477464486204,4.366225277207844,5.467707218041436,327.46689579058835,7.01
2,81.0,0.4124908844977125,3.261179854930077,7.90606526711783,264.1555682493362,7.01
3,74.0,0.30184708434784013,2.6664559660177374,8.833797324160958,197.31774148531258,7.01
4,57.0,0.3037187013861325,2.3474603128479483,7.7290608123057485,133.80523783233306,7.01
5,61.0,0.6056185773334571,3.429174420429781,5.662267553826468,209.17963964621663,7.01
6,92.0,0.6126848051253585,4.235820347218606,6.913539085324526,389.6954719441117,7.01
7,61.0,0.40937563403884725,2.8193628713091687,6.886982606887708,171.98113514985928,7.01
8,24.0,0.545606431073143,2.041598908557916,3.741889377187753,48.99837380538998,7.01
9,44.0,0.6462701245276022,3.008558370785595,4.655264504118509,132.37656831456619,7.01
10,67.0,0.6316695453833082,3.670349614611768,5.8105533841821275,245.91342417898846,7.01
11,75.0,0.5167865431356129,3.512459242398532,6.796731240497505,263.4344431798899,7.01
12,67.0,0.6636799743382681,3.7621995036551477,5.668695228308349,252.06736674489485,7.01
13,87.0,0.5928884812104149,4.052016418120464,6.834365224718223,352.52542837648036,7.01
14,47.0,0.6600600645773642,3.142430789916312,4.760825504461336,147.69424712606664,7.01
15,55.0,0.4820528423537751,2.905050807839884,6.0264156801877915,159.77779443119363,7.01
16,91.0,0.7248552497322724,4.5821721787621925,6.321499610376875,416.97766826735955,7.01
17,19.0,0.8083256235966562,2.2110320458291355,2.735323465302408,42.00960887075358,7.01
18,93.0,0.6503990395753033,4.387897596377715,6.746469981325492,408.07447646312744,7.01
19,86.0,0.6396326192351998,4.184461639879721,6.541976619145888,359.86370102965606,7.01
20,56.0,0.4435335621503014,2.811786369989407,6.339512068393529,157.46003671940676,7.01
21,31.0,0.7280437481229369,2.6803076690292116,3.6815200679075355,83.08953773990557,7.01
22,34.0,0.8185587389798119,2.976387328178236,3.6361316377707658,101.19716915806002,7.01
23,30.0,0.8057722601689781,2.7739066842151154,3.4425442787437244,83.21720052645347,7.01
24,31.0,0.6780672019521821,2.5866774654427203,3.814780390491642,80.18700142872433,7.01
25,31.0,0.926051740166135,3.0228983020257387,3.2642866169480196,93.70984736279792,7.01
26,21.0,0.8063095886072404,2.321590528268899,2.879279325301145,48.75340109364688,7.01
27,76.0,0.6516516292289427,3.9704488223351193,6.092900937013071,301.75411049746907,7.01
28,86.0,0.5109474144265382,3.739920687200888,7.319580413961753,321.6331790992764,7.01
29,24.0,0.523224240975596,1.9992845635989427,3.821085506036774,47.98282952637462,7.01
30,33.0,0.7833928489102036,2.8686121597273275,3.661779863982575,94.66420127100182,7.01
31,60.0,0.5772195998429902,3.3202533499334845,5.752149356738108,199.21520099600906,7.01
32,40.0,0.658856168038896,2.896345503284782,4.396020928066647,115.85382013139127,7.01
33,26.0,0.8774489585267216,2.6947759890460072,3.0711484273349234,70.06417571519619,7.01
